"","TI","SO","LeadAuthorFirst","LeadAuthorLast","LeadInitOnly","first.gender.manual","first.gender","first.gender.manual.method","EditorFirst","EditorLast","editor.gender.manual","FirstInst2","Editor.Institution"
"1225","Aversive Behavior in the Nematode C. elegans Is Modulated by cGMP and a Neuronal Gap Junction Network","PLOS GENETICS","Michelle","prober","no","female","female","","Andrew","Chisholm","male","SUNY Buffalo","University of California San Diego"
"1226","The Fossil Calibration Database-A New Resource for Divergence Dating","SYSTEMATIC BIOLOGY","Daniel","pruitt","no","either","either","","Laura","Kubatko","female","Bruce Museum Greenwich","Ohio State University"
"1227","Practical Performance of Tree Comparison Metrics","SYSTEMATIC BIOLOGY","Mary","rollinson","no","female","female","","David","Posada","male","University of Washington","University of Vigo"
"1228","Phylodynamics with Migration: A Computational Framework to Quantify Population Structure from Genomic Data","MOLECULAR BIOLOGY AND EVOLUTION","Denise","roulin","no","female","female","","Jeffrey","Thorne","male","ETH Zurich","North Carolina State University"
"1229","Using plant-soil feedbacks to predict plant biomass in diverse communities","ECOLOGY","Andrew","santoro","no","male","male","","Ken","Paige","male","Utah State University","University of Illinois"
"1230","Hsp90-Associated Immunophilin Homolog Cpr7 Is Required for the Mitotic Stability of [URE3] Prion in Saccharomyces cerevisiae","PLoS Genetics","Navinder","saraux","no",NA,NA,"","Tricia","Serio","female","","University of Arizona"
"1231","A Report by the Editor-in-Chief for MBE, Volume 31","MOLECULAR BIOLOGY AND EVOLUTION","Sudhir","schrider","no",NA,NA,"","",NA,NA,"Temple University",""
"1232","A Report by the Editor-in-Chief for MBE, Volume 32","MOLECULAR BIOLOGY AND EVOLUTION","Sudhir","schuett","no",NA,NA,"","",NA,NA,"Temple University",""
"1233","Angiotensin Converting Enzyme (ACE) Inhibitor Extends Caenorhabditis elegans Life Span","PLOS GENETICS","Sandeep","sheehan","no",NA,NA,"","Stuart","Kim","male","Washington University","Stanford University School of Medicine"
"1234","Advances in Time Estimation Methods for Molecular Data","MOLECULAR BIOLOGY AND EVOLUTION","Sudhir","smith","no",NA,NA,"","Naoko","Takesaki","female","Temple University","Kagawa University"
"1235","Linkage of plant trait space to successional age and species richness in boreal forest understorey vegetation","JOURNAL OF ECOLOGY","Bright","streicher","no","male",NA,"babynames.com","David","Gibson","male","Swedish University of Agricultural Sciences","Southern Illinois University"
"1236","Life history traits and exploitation affect the spatial mean-variance relationship in fish abundance","ECOLOGY","Ting-Chun","sullivan","no","female",NA,"babynames.com","Daniel","Schindler","either","National Taiwan University","University of Washington"
"1237","Identification of response classes from heavy metal-tolerant soil microbial communities by highly resolved concentration-dependent screenings in a microfluidic system","METHODS IN ECOLOGY AND EVOLUTION","Dana","sung","no","either","either","","Matthew","Davey","male","Technological University of Ilmenau","University of Cambridge"
"1238","Chromosomal Replication Complexity: A Novel DNA Metrics and Genome Instability Factor","PLOS GENETICS","Andrei","swindles","no","female","female","","Jue","Wang",NA,"University of Illinois","University of Wisconsin"
"1239","Expansion of GA Dinucleotide Repeats Increases the Density of CLAMP Binding Sites on the X-Chromosome to Promote Drosophila Dosage Compensation","PLOS GENETICS","Guray","tarvin","no","female",NA,"namepedia.org","Jan","Larsson","either","Brown University","Umea University"
"1240","Functional Dissection of the Blocking and Bypass Activities of the Fab-8 Boundary in the Drosophila Bithorax Complex","PLOS GENETICS","Olga","thiebault","no","female","female","","Ernesto","Sanchez-Herrero","male","Russian Academy of Science","Universidad Autónoma de Madrid"
"1241","Migration timing and its determinants for nocturnal migratory birds during autumn migration","JOURNAL OF ANIMAL ECOLOGY","Frank","tibblin","no","either","either","","Jason","Chapman","male","Cornell University","University of Exeter"
"1242","Polytolerance to abiotic stresses: how universal is the shade-drought tolerance trade-off in woody species?","GLOBAL ECOLOGY AND BIOGEOGRAPHY","Lauri","ullastres","no","female","female","","Peter","VanBodegom","male","Estonia University of Life Sciences","Leiden University"
"1243","A Thousand Fly Genomes: An Expanded Drosophila Genome Nexus","MOLECULAR BIOLOGY AND EVOLUTION","Justin","von wyschetzki","no","either","either","","Michael","Rosenberg","male","University of Wisconsin Madison","Arizona State University"
"1244","Beyond arctic and alpine: the influence of winter climate on temperate ecosystems","ECOLOGY","Laura","white","no","female","female","","Samantha","Chapman","female","University of New Mexico","Villanova University"
"1245","Range-weighted metrics of species and phylogenetic turnover can better resolve biogeographic transition zones","METHODS IN ECOLOGY AND EVOLUTION","Shawn","wilson","no","either","either","","Kate","Jones","female","University of New South Wales","University College London"
"1246","Epistatic Interactions in the Arabinose Cis-Regulatory Element","MOLECULAR BIOLOGY AND EVOLUTION","Mato","wood","no","either",NA,"babynames.com","Patricia","Wittkopp","female","IST Austria","University of Michigan"
"1247","MESOCLOSURES - increasing realism in mesocosm studies of ecosystem functioning","METHODS IN ECOLOGY AND EVOLUTION","Saija","xu","no",NA,NA,"","Nicolas","Lecomte","male","University of Helsinki","Universite de Moncton"
"1248","Distinct invasion strategies operating within a natural annual plant system","ECOLOGY LETTERS","Hao","zieba","no","either",NA,"babynames.com","Montserrat","Vila","female","University of Queensland","Estacion Biologica de donana"
"1249","Facilitating systematic reviews, data extraction and meta-analysis with the metagear package for r","METHODS IN ECOLOGY AND EVOLUTION","Marc","zurita-gutierrez","no","male","male","","Richard","Fitzjohn","male","University of South Florida","Macquarie University"
"1250","Understanding context dependence in the contribution of intraspecific variation to community trait-environment matching","ECOLOGY","Genevieve","abbott","no","female","female","","Daniel","Laughlin","either","Universite de Sherbrooke","University of Waikato"
"1251","Costs of fear: behavioural and life-history responses to risk and their demographic consequences vary across species","ECOLOGY LETTERS","Joseph","anderson","no","male","male","","Andrew","Sih","male","University of Montana","University of California Davis"
"1252","Negative density dependence is stronger in resource-rich environments and diversifies communities when stronger for common but not rare species","ECOLOGY LETTERS","Joseph","atwater","no","male","male","","Marcel","Rejmanek","male","Washington University","University of California Davis"
"1253","Taxonomic and functional composition of arthropod assemblages across contrasting Amazonian forests","JOURNAL OF ANIMAL ECOLOGY","Greg","baudier","no","male","male","","Karl","Cottenie","male","University of Antilles Guyane","University of Guelph"
"1254","Evolution of Vertebrate Phototransduction: Cascade Activation","MOLECULAR BIOLOGY AND EVOLUTION","Trevor","chu","no","male","male","","Stuart","Newfield","male","Australian National University","Arizona State University"
"1255","Tree genotype mediates covariance among communities from microbes to lichens and arthropods","JOURNAL OF ECOLOGY","Louis","copeland","no","male","male","","Roberto","Salguero-Gomez","male","Michigan Technological University","University of Sheffield"
"1256","Stability and distribution of predator-prey systems: local and regional mechanisms and patterns","ECOLOGY LETTERS","Adam","forrestel","no","male","male","","John","Drake","male","Arizona State University","University of Georgia"
"1257","Testing the scaling effects and mechanisms of N-induced biodiversity loss: evidence from a decade-long grassland experiment","JOURNAL OF ECOLOGY","Zhichun","ghedini","no",NA,NA,"","Will","Cornwell","male","Chinese Academy of Sciences","University of New South Wales"
"1258","NPAS2 Compensates for Loss of CLOCK in Peripheral Circadian Oscillators","PLOS GENETICS","Dominic","harper","no","male","male","","Achim","Kramer","male","Veteran Affairs San Diego Health Care System","Charite-Universitatsmedizin"
"1259","Searching the Evolutionary Origin of Epithelial Mucus Protein Components-Mucins and FCGBP","MOLECULAR BIOLOGY AND EVOLUTION","Tiange","harte","no",NA,NA,"","Katja","Nowick","female","University of Gothenburg","Universitat Leipzig"
"1260","Genetic, ecological and geographic covariables explaining host range and specificity of a microsporidian parasite","JOURNAL OF ANIMAL ECOLOGY","Benjamin","huang","no","male","male","","Sheena","Cotter","female","University of Basel","University of Lincoln"
"1261","Propagule size and dispersal costs mediate establishment success of an invasive species","ECOLOGY","Rolanda","jakobsdottir","no",NA,NA,"","Steven","Morgan","male","Monash University","Bodega Marine Laboratory"
"1262","A Novel Route Controlling Begomovirus Resistance by the Messenger RNA Surveillance Factor Pelota","PLoS Genetics","Moshe","kharouba","no","male","male","","John","McDowell","male","Argicultural Research Organization Volcani Center","Virginia Tech"
"1263","Random processes and phylogenetic loss caused by plant invasions","GLOBAL ECOLOGY AND BIOGEOGRAPHY","Oriol","lefcheck","no","either",NA,"babynames.com","Linda","Beaumont","female","Autonomous University of Barcelona","Macquarie University"
"1264","The Impact of Selection, Gene Conversion, and Biased Sampling on the Assessment of Microbial Demography","MOLECULAR BIOLOGY AND EVOLUTION","Marguerite","li","no","female","female","","Helen","Piontkivska","female","","Kent State University"
"1265","Tracking marine mammals in 3D using electronic tag data","METHODS IN ECOLOGY AND EVOLUTION","Christophe","loke","no","male","male","","Olivier","Gimenez","male","University of Toulouse","CNRS"
"1266","Patterns of Reproductive Isolation in Eucalyptus-A Phylogenetic Perspective","MOLECULAR BIOLOGY AND EVOLUTION","Matthew","mcafee","no","male","male","","Juliette","deMeaux","female","University of Tasmania","University of Munster"
"1267","Sex-specific determinants of fitness in a social mammal","ECOLOGY","Sophie","monro","no","female","female","","Burt","Kotler","male","Universite Lyon","Ben-Gurion University of the Negev"
"1268","Regulation of Splicing Factors by Alternative Splicing and NMD Is Conserved between Kingdoms Yet Evolutionarily Flexible","MOLECULAR BIOLOGY AND EVOLUTION","Liana","papacostas","no","female","female","","Joshua","Akey","male","University of California Berkeley","University of Washington"
"1269","Selection on a Subunit of the NURF Chromatin Remodeler Modifies Life History Traits in a Domesticated Strain of Caenorhabditis elegans","PLOS GENETICS","Edward","posledovich","no","male","male","","Stuart","Kim","male","Georgia Institute of Technology","Stanford University School of Medicine"
"1270","Spatial aspects of tree mortality strongly differ between young and old-growth forests","ECOLOGY","Andrew","pringle","no","male","male","","John","Battles","male","University of Montana","University of California Berkeley"
"1271","Regeneration: an overlooked aspect of trait-based plant community assembly models","JOURNAL OF ECOLOGY","Julie","rivadeneira","no","either","either","","Kenneth","Whitney","male","Chapman University","University of New Mexico"
"1272","Experimental manipulation of floral scent bouquets restructures flower-visitor interactions in the field","JOURNAL OF ANIMAL ECOLOGY","Anne-Amelie","siefert","no","female",NA,"first name alone","Peter","Hamback","male","Salzburg University","University of Stockholm"
"1273","Genotypic variation in foundation species generates network structure that may drive community dynamics and evolution","ECOLOGY","Matthew","simons","no","male","male","","James","Cronin","male","Northern Arizona University","Louisiana State University"
"1274","A quick, easy and non-intrusive method for underwater volume and surface area evaluation of benthic organisms by 3D computer modelling","METHODS IN ECOLOGY AND EVOLUTION","Adi","stein","no","female","female","","Sean","McMahon","either","Tel Aviv University","Smithsonian Environmental Research Center"
"1275","Life-stage-specific physiology defines invasion extent of a riverine fish","JOURNAL OF ANIMAL ECOLOGY","David","valdovinos","no","male","male","","Ronald","Bassar","male","University of Washington","University of Oxford"
"1276","Environmental variation and population responses to global change","ECOLOGY LETTERS","Callum","ward","no","male",NA,"babynames.com","John","Drake","male","Netherlands Institute of Ecology","University of Georgia"
"1277","Hydrological conditions explain variation in wood density in riparian plants of south-eastern Australia","JOURNAL OF ECOLOGY","James","whalen","no","male","male","","Stephen","Bonser","male","Macquarie University","University of New South Wales"
"1278","Spatial and species compositional networks for inferring connectivity patterns in ecological communities","GLOBAL ECOLOGY AND BIOGEOGRAPHY","Mehdi","baselga","no","female",NA,"babynames.com","Sean","Connolly","either","University of Quebec","James Cook University"
"1279","Environmental heterogeneity leads to higher plasticity in dry-edge populations of a semi-arid Chilean shrub: insights into climate change responses","JOURNAL OF ECOLOGY","Ana","duchene","no","female","female","","Will","Cornwell","male","Museo Nacional de Ciencias Naturales","University of New South Wales"
"1280","Traits of neighbouring plants and space limitation determine intraspecific trait variability in semi-arid shrublands","JOURNAL OF ECOLOGY","Yoann","garcia-rosello","no",NA,NA,"","",NA,NA,"University of South Bohemia",""
"1281","Macroecological relationships reveal conservation hotspots and extinction-prone species in Australia's freshwater fishes","GLOBAL ECOLOGY AND BIOGEOGRAPHY","Matthew","hodge","no","male","male","","Janne","Soininen",NA,"University of Melbourne","University of Helsinki"
"1282","Short Tree, Long Tree, Right Tree, Wrong Tree: New Acquisition Bias Corrections for Inferring SNP Phylogenies","SYSTEMATIC BIOLOGY","Adam","maire","no","male","male","","Richard","Glor","male","University of Washington","University of Kansas"
"1283","Onwards and upwards - aphid flight trends follow climate change","JOURNAL OF ANIMAL ECOLOGY","Simon","mcglinn","yes","male","male","","Graeme","Hays","male","","Deakin University"
"1284","Species with greater seed mass are more tolerant of conspecific neighbours: a key driver of early survival and future abundances in a tropical forest","ECOLOGY LETTERS","Edwin","o'connor","no","male","male","","Marcel","Rejmanek","male","University of Haifa","University of California Davis"
"1285","Distribution of Ribonucleoprotein and Protein-Only RNase P in Eukarya","MOLECULAR BIOLOGY AND EVOLUTION","Marcus","schrodt","no","male","male","","Claus","Wilke","male","University of Marburg","University of Texas"
"1286","The Evolution and Adaptive Potential of Transcriptional Variation in Sticklebacks-Signatures of Selection and Widespread Heritability","MOLECULAR BIOLOGY AND EVOLUTION","Erica","sandoval","no","female","female","","Patricia","Wittkopp","female","University of Turku","University of Michigan"
"1287","Lianas and soil nutrients predict fine-scale distribution of above-ground biomass in a tropical moist forest","JOURNAL OF ECOLOGY","Alicia","bretfeld","no","female","female","","Gerhard","Zotz","male","University of Aberdeen","University of Oldenburg"
"1288","A synthesis of transplant experiments and ecological niche models suggests that range limits are often niche limits","ECOLOGY LETTERS","Julie","chang","no","either","either","","Jose Maria","Gomez",NA,"University of British Columbia","Universidad De Granada"
"1289","Relaxing the Molecular Clock to Different Degrees for Different Substitution Types","MOLECULAR BIOLOGY AND EVOLUTION","Hui-Jie","david-palma","no","male",NA,"babynames.com","Hideki","Innan","male","North Carolina State University","School of Advanced Sciences"
"1290","The Role of piRNA-Mediated Epigenetic Silencing in the Population Dynamics of Transposable Elements in Drosophila melanogaster","PLOS GENETICS","Yuh","emsens","yes",NA,NA,"","Dmitri","Petrov","male","","Stanford University"
"1291","Very high-resolution digital elevationmodels: are multi-scale derived variables ecologically relevant?","METHODS IN ECOLOGY AND EVOLUTION","Kevin","hasselquist","yes","male","male","","Darren","Kriticos","male","Ecole Polytechnic Federale Lausanne","CSIRO"
"1292","PIECEWISESEM: Piecewise structural equation modelling in R for ecology, evolution, and systematics","METHODS IN ECOLOGY AND EVOLUTION","Jonathan","jackrel","no","male","male","","",NA,NA,"College of William and Mary",""
"1293","Multitrophic functional diversity predicts ecosystem functioning in experimental assemblages of estuarine consumers","ECOLOGY","Jonathan","king","no","male","male","","Jonathan","Grabowski","male","College of William and Mary","Northeastern University"
"1294","Multiple Pairwise Analysis of Non-homologous Centromere Coupling Reveals Preferential Chromosome Size-Dependent Interactions and a Role for Bouquet Formation in Establishing the Interaction Pattern","PLOS GENETICS","Philippe","kramer","no","female","female","","Gregory","Copenhaver","male","Yale University","University of North Carolina Chapel Hill"
"1295","Palaeohistological Evidence for Ancestral High Metabolic Rate in Archosaurs","SYSTEMATIC BIOLOGY","Lucas","liu","no","male","male","","Robb","Brumfield","male","Universite Paris 06","Louisiana State University"
"1296","Should the Mantel test be used in spatial analysis?","METHODS IN ECOLOGY AND EVOLUTION","Pierre","luo","no","male","male","","Pedro","Peres-Neto","male","Universite Montreal","Concordia University Montreal"
"1297","Clustering methods differ in their ability to detect patterns in ecological networks","METHODS IN ECOLOGY AND EVOLUTION","Jean-Benoist","marques","no","either",NA,"babynames.com","Tamara","Munkemuller","female","","Universite Joseph Fourier"
"1298","Translational Upregulation of an Individual p21(Cip1) Transcript Variant by GCN2 Regulates Cell Proliferation and Survival under Nutrient Stress","PLOS GENETICS","Stacey","mclaren","no","female","female","","Bruce","Clurman","male","University of Pennsylvania","Fred Hutchinson Cancer Research Center"
"1299","Disentangling the effects of land-use change, climate and CO2 on projected future European habitat types","GLOBAL ECOLOGY AND BIOGEOGRAPHY","Veiko","metcalfe","no",NA,NA,"","Ian","Wright","male","Lund University","Macquarie University"
"1300","The Lambert W function in ecological and evolutionary models","METHODS IN ECOLOGY AND EVOLUTION","Jussi","paudel","no",NA,NA,"","Mark","Rees","male","University of New South Wales","University of Sheffield"
"1301","Phylogenetic relatedness within Neotropical fern communities increases with soil fertility","GLOBAL ECOLOGY AND BIOGEOGRAPHY","Samuli","rosenfeld","no",NA,NA,"","Peter","VanBodegom","male","University of Turku","Leiden University"
"1302","Species sorting and patch dynamics in harlequin metacommunities affect the relative importance of environment and space","ECOLOGY","Mathew","rousk","no","male","male","","Bruce","Kendall","male","University of Texas","University of California Santa Barbara"
"1303","POPART: full-feature software for haplotype network construction","METHODS IN ECOLOGY AND EVOLUTION","Jessica","senay","no","female","female","","Shinicki","Nakagawa",NA,"University of Otago","University of New South Wales"
"1304","Monte Carlo Strategies for Selecting Parameter Values in Simulation Experiments","SYSTEMATIC BIOLOGY","Jessica","trevathan-tackett","no","female","female","","Cecile","Ane","female","University of Otago","University of Wisconsin"
"1305","An assessment of the effects of habitat structure on the scat finding performance of a wildlife detection dog","METHODS IN ECOLOGY AND EVOLUTION","Kellie","wetzel","no","female","female","","Jana","McPherson","female","","Simon Fraser University"
"1306","Just Google it: assessing the use of Google Images to describe geographical variation in visible traits of organisms","METHODS IN ECOLOGY AND EVOLUTION","Gabriella","xu","no","female","female","","Erica","Leder","female","University of Cape Town","University of Turku"
"1307","Mapping beta diversity from space: Sparse Generalised Dissimilarity Modelling (SGDM) for analysing high-dimensional data","METHODS IN ECOLOGY AND EVOLUTION","Pedro","yuan","no","male","male","","David","Warton","male","Humboldt University","University of New South Wales"
"1308","Underappreciated problems of low replication in ecological field studies","ECOLOGY","Nathan","zhang","no","male","male","","Brian","Inouye","male","Colorado State University","Florida State University"
"1309","Phylogenetic relatedness and leaf functional traits, not introduced status, influence community assembly","ECOLOGY","Nathan","gautam","no","male","male","","Jeannine","Cavender-Bares","female","Florida International University","University of Minnesota"
"1310","Robust estimates of environmental effects on population vital rates: an integrated capture-recapture model of seasonal brook trout growth, survival and movement in a stream network","JOURNAL OF ANIMAL ECOLOGY","Benjamin","horne","no","male","male","","Dylan","Childs","male","USGS Southern Conte Anadromous Fish Research Center","University of Sheffield"
"1311","Environmental gradients and the evolution of successional habitat specialization: a test case with 14 Neotropical forest sites","JOURNAL OF ECOLOGY","Susan","jackson","no","female","female","","Shurong","Zhou",NA,"SUNY College Purchase","Fudan University"
"1312","Trees, branches and (square) roots: why evolutionary relatedness is not linearly related to functional distance","METHODS IN ECOLOGY AND EVOLUTION","Andrew","lareau","no","male","male","","Robert","O'Hara","male","University of New South Wales","Biodiversitat und Klima"
"1313","Fine-scale hydrological niche differentiation through the lens of multi-species co-occurrence models","JOURNAL OF ECOLOGY","Andrew","lin","no","male","male","","Jason","Fridley","male","University of New South Wales","Syracuse University"
"1314","Shifting demographic conflicts across recruitment cohorts in a dynamic post-disturbance landscape","ECOLOGY","Alexandro","rollins","no","male",NA,"babynames.com","Gordon","Fox","male","Universidad De Granada","University of South Florida"
"1315","Soil nutrients influence growth response of temperate tree species to drought","JOURNAL OF ECOLOGY","Mathieu","zimova","no","male",NA,"sheknowns.com","Robert","Jones","male","WSL Swiss Federal Instiute of Snow and Avalanche Research",""
"1316","Disentangling fragmentation effects on herbivory in understory plants of longleaf pine savanna","ECOLOGY","Douglas","dejaco","no","male","male","","Daniel","Laughlin","either","","University of Waikato"
"1317","Does biodiversity protect humans against infectious disease? Comment","ECOLOGY","Taal","dyer","no",NA,NA,"","Donald","Strong","male","Oregon State University","University of California Davis"
"1318","Recurrent Gene Duplication Diversifies Genome Defense Repertoire in Drosophila","MOLECULAR BIOLOGY AND EVOLUTION","Mia","gilarranz","no","female","female","","Nadia","Singh","female","Fred Hutchinson Cancer Research Center","North Carolina State University"
"1319","Ontogeny constrains phenology: opportunities for activity and reproduction interact to dictate potential phenologies in a changing climate","ECOLOGY LETTERS","Ofir","horak","no",NA,NA,"","Jean-Michel","Gaillard","male","Arizona State University","CNRS"
"1320","Estimating Bayesian Phylogenetic Information Content","SYSTEMATIC BIOLOGY","Paul","ives","no","male","male","","Mark","Holder","male","University of Connecticut","University of Kansas"
"1321","Phycas: Software for Bayesian Phylogenetic Analysis","SYSTEMATIC BIOLOGY","Paul","jenerette","yes","male","male","","David","Posada","male","University of Connecticut","University of Vigo"
"1322","Estimating dark diversity and species pools: an empirical assessment of two methods","METHODS IN ECOLOGY AND EVOLUTION","Rob","lamarre","no","male","male","","Nick","Isaac","male","University of Tartu","Centre for Ecology and Hydrology"
"1323","Contrasting responses of male and female foraging effort to year-round wind conditions","JOURNAL OF ANIMAL ECOLOGY","Sue","marshall","no","female","female","","Jennifer","Gill","female","University of Edinburgh","University of East Anglia"
"1324","Mutation of Growth Arrest Specific 8 Reveals a Role in Motile Cilia Function and Human Disease","PLOS GENETICS","Wesley","maurel","no","male","male","","Susan","Dutcher","female","University of Alabama at Birmingham","Washington University School of Medicine"
"1325","Characterizing and Comparing Phylogenies from their Laplacian Spectrum","SYSTEMATIC BIOLOGY","Eric","pattinson","no","male","male","","Olivier","Gascuel","male","Ecole Normale Superieur","Institut Pasteur"
"1326","Characterizing and comparing phylogenies from their Laplacian spectrum (vol 65, pg 495, 2016)","SYSTEMATIC BIOLOGY","E.","recalde","no",NA,NA,"","",NA,NA,"",""
"1327","Changes in assembly rules along a stress gradient from open dry grasslands to wetlands","JOURNAL OF ECOLOGY","Barbara","tayleur","no","female","female","","Caroline","Brophy","female","","Maynooth University"
"1328","Leveraging Identity-by-Descent for Accurate Genotype Inference in Family Sequencing Data","PLOS GENETICS","Bingshan","yang","no",NA,NA,"","Jonathan","Marchini","male","Vanderbilt University","University of Oxford"
"1329","Axon Regeneration Is Regulated by Ets-C/EBP Transcription Complexes Generated by Activation of the cAMP/Ca2+ Signaling Pathways","PLOS GENETICS","Chun","huang","no",NA,NA,"","Kaveh","Ashrafi","male","Nagoya University","University of California San Francisco"
"1330","Long-term shifts in the patterns and underlying processes of plant associations in Wisconsin forests","GLOBAL ECOLOGY AND BIOGEOGRAPHY","Daijiang","bell","no","male",NA,"wikiname","David","Currie","male","University of Wisconsin Madison","University of Ottawa"
"1331","Leaf economics and hydraulic traits are decoupled in five species-rich tropical-subtropical forests","ECOLOGY LETTERS","Le","hays","no","either",NA,"babynames.com","Josep","Penuelas","male","Chinese Academy of Sciences","CREAF Universitat Autonoma Barcelona"
"1332","Are functional traits a good predictor of global change impacts on tree species abundance dynamics in a subtropical forest?","ECOLOGY LETTERS","Ronghua","hunt","no",NA,NA,"","Fangliang","He",NA,"Chinese Academy of Sciences","University of Alberta"
"1333","Human Enhancers Are Fragile and Prone to Deactivating Mutations","MOLECULAR BIOLOGY AND EVOLUTION","Shan","kulmatiski","no","either",NA,"babynames.com","Katja","Nowick","female","National Institutes of Health","Universitat Leipzig"
"1334","Species colonisation, not competitive exclusion, drives community overdispersion over long-term succession","ECOLOGY LETTERS","Shao-peng","rutten","no",NA,NA,"","Marcel","Holyoak","male","Sun Yat Sen University","University of California Davis"
"1335","The effects of phylogenetic relatedness on invasion success and impact: deconstructing Darwin's naturalisation conundrum","ECOLOGY LETTERS","Shao-peng","tan","no",NA,NA,"","Jessica","Gurevitch","female","Sun Yat Sen University","Stony Brook University"
"1336","Convergence and divergence in a long-term old-field succession: the importance of spatial scale and species abundance","ECOLOGY LETTERS","Shao-peng","xia","no",NA,NA,"","Marcel","Rejmanek","male","Georgia Institute of Technology","University of California Davis"
"1337","Overexpression of Mitochondria Mediator Gene TRIAP1 by miR-320b Loss Is Associated with Progression in Nasopharyngeal Carcinoma","PLOS GENETICS","Yingqin","aughey","no",NA,NA,"","Peter","Hammerman","male","Sun Yat Sen University","Dana Farber Cancer Institute"
"1338","Leaf margin analysis of Chinese woody plants and the constraints on its application to palaeoclimatic reconstruction","GLOBAL ECOLOGY AND BIOGEOGRAPHY","Yaoqi","dombroskie","no",NA,NA,"","Greg","Jordan","male","Peking University","University of Tasmania"
"1339","Necrotic Cells Actively Attract Phagocytes through the Collaborative Action of Two Distinct PS-Exposure Mechanisms","PLOS GENETICS","Zao","kraft","no",NA,NA,"","Danielle","Garsin","female","Baylor College of Medicine","University of Texas Health Science Center"
"1340","Metatranscriptomic Study of Common and Host-Specific Patterns of Gene Expression between Pines and Their Symbiotic Ectomycorrhizal Fungi in the Genus Suillus","PLOS GENETICS","Hui-Ling","larson","no","male",NA,"babynames.com","Francis","Martin","either","Duke University","INRA Nancy"
"1341","Solidago gigantea plants from nonnative ranges compensate more in response to damage than plants from the native range","ECOLOGY","Huixuan","pesendorfer","no",NA,NA,"","Steven","Pennings","male","Sun Yat Sen University","University of Georgia Marine Institute"
"1342","Zasp52, a Core Z-disc Protein in Drosophila Indirect Flight Muscles, Interacts with alpha-Actinin via an Extended PDZ Domain","PLOS GENETICS","Kuo","sletvold","no",NA,NA,"","Julie","Kadrmas","either","McGill University","University of Utah"
"1343","The Eukaryotic-Like Ser/Thr Kinase PrkC Regulates the Essential WalRK Two-Component System in Bacillus subtilis","PLOS GENETICS","Elizabeth","wadgymar","no","female","female","","",NA,NA,"Columbia University",""
"1344","Modelling of hardwood forest in Quebec under dynamic disturbance regimes: a time-inhomogeneous Markov chain approach","JOURNAL OF ECOLOGY","Jean","becker","no","either","either","","Caroline","Brophy","female","Washington State University","Maynooth University"
"1345","Cool tadpoles from Arctic environments waste fewer nutrients - high gross growth efficiencies lead to low consumer-mediated nutrient recycling in the North","JOURNAL OF ANIMAL ECOLOGY","Antonia","fleming-davies","no","female","female","","Peter","Hamback","male","Umea University","University of Stockholm"
"1346","Nutritional ecology beyond the individual: a conceptual framework for integrating nutrition and social interactions","ECOLOGY LETTERS","Mathieu","reisinger","no","male",NA,"sheknowns.com","Micky","Eubanks","either","University of Sydney","Texas A&M University"
"1347","Assessing the latitudinal gradient in herbivory","GLOBAL ECOLOGY AND BIOGEOGRAPHY","Jun","candolin","no","male",NA,"babynames.com","Greg","Jordan","male","University of California Berkeley","University of Tasmania"
"1348","Arbuscular mycorrhizal fungal effects on plant competition and community structure","JOURNAL OF ECOLOGY","Guigang","geheber","no",NA,NA,"","Ryan","Phillips","male","Chinese Academy of Sciences","Kings Park and Botanic Gardens"
"1349","Epigenetic Aging Signatures Are Coherently Modified in Cancer","PLOS GENETICS","Qiong","henriksson","no",NA,NA,"","John","Greally","male","","Albert Einstein College of Medicine"
"1350","Parallel evolution in an invasive plant: effect of herbivores on competitive ability and regrowth of Jacobaea vulgaris","ECOLOGY LETTERS","Tiantian","ford","no",NA,NA,"","Vojtech","Novotny","male","Leiden University","University of South Bohemia"
"1351","MiR-155 Enhances Insulin Sensitivity by Coordinated Regulation of Multiple Genes in Mice","PLOS GENETICS","Xiaolin","grau-bove","no",NA,NA,"","Allison","Xu","female","Southern Medical University","University of San Francisco"
"1352","The Evolution and Functional Impact of Human Deletion Variants Shared with Archaic Hominin Genomes","MOLECULAR BIOLOGY AND EVOLUTION","Yen-Lung","kaehler","no",NA,NA,"","Joshua","Akey","male","SUNY Buffalo","University of Washington"
"1353","Vegetation patterns in small boreal streams relate to ice and winter floods","JOURNAL OF ECOLOGY","Lovisa","klopfstein","no","female",NA,"babynames.com","Glenn","Matlack","either","Umea University","Ohio University"
"1354","Bayesian cross-validation for model evaluation and selection, with application to the North American Breeding Bird Survey","ECOLOGY","William","marron","no","male","male","","Evan","Cooch","male","USGS Patuxent Wildlife Research Center","Cornell University"
"1355","Detecting the Anomaly Zone in Species Trees and Evidence for a Misleading Signal in Higher-Level Skink Phylogeny (Squamata: Scincidae).","SYSTEMATIC BIOLOGY","Charles","monttinen","no","male","male","","Erika","Edwards","female","University of Washington","Brown University"
"1356","Ecological interactions on macroevolutionary time scales: clams and brachiopods are more than ships that pass in the night","ECOLOGY LETTERS","Lee","to","no","either","either","","Stephen","Jackson","male","University of Oslo","University of Wyoming"
"1357","Global biogeochemical impacts of phytoplankton: a trait-based perspective","JOURNAL OF ECOLOGY","Elena","ullah","no","female","female","","Amy","Austin","female","Michigan State University","University of Buenos Aires"
